sim_time, /gazebo/default/iris/gps0/link/gps?p=/altitude
441.74, 0.104936
441.94, 0.104936
442.14, 0.104936
442.34, 0.104937
442.54, 0.104937
442.74, 0.104937
442.94, 0.104938
443.14, 0.104938
443.34, 0.104938
443.54, 0.104939
443.74, 0.104939
443.94, 0.104939
444.14, 0.10494
444.34, 0.10494
444.54, 0.10494
444.74, 0.104941
444.94, 0.104941
445.14, 0.104941
445.34, 0.104942
445.54, 0.104942
445.74, 0.104942
445.94, 0.104943
446.14, 0.104943
446.34, 0.104943
446.54, 0.104944
446.74, 0.104944
446.94, 0.104944
447.14, 0.104945
447.34, 0.104833
447.54, 0.104833
447.74, 0.104833
447.94, 0.104833
448.14, 0.104833
448.34, 0.104833
448.54, 0.104833
448.74, 0.104833
448.94, 0.104833
449.14, 0.104833
449.34, 0.104833
449.54, 0.104833
449.74, 0.104833
449.94, 0.104833
450.14, 0.104833
450.34, 0.104833
450.54, 0.104833
450.74, 0.104833
450.94, 0.104833
451.14, 0.104833
451.34, 0.104833
451.54, 0.104833
451.74, 0.104833
451.94, 0.104833
452.14, 0.104833
452.34, 0.104833
452.54, 0.104833
452.74, 0.104833
452.94, 0.104833
453.14, 0.105009
453.34, 0.113382
453.54, 0.142583
453.74, 0.209241
453.94, 0.306995
454.14, 0.424491
454.34, 0.560652
454.54, 0.703871
454.74, 0.850716
454.94, 1.00103
455.14, 1.1534
455.34, 1.30602
455.54, 1.45838
455.74, 1.60893
455.94, 1.75817
456.14, 1.90096
456.34, 2.03745
456.54, 2.1671
456.74, 2.28993
456.94, 2.40055
457.14, 2.47349
457.34, 2.50718
457.54, 2.53622
457.74, 2.57228
457.94, 2.61078
458.14, 2.64875
458.34, 2.685
458.54, 2.71893
458.74, 2.75054
458.94, 2.7798
459.14, 2.80773
459.34, 2.83443
459.54, 2.85849
459.74, 2.87918
459.94, 2.89685
460.14, 2.91217
460.34, 2.92572
460.54, 2.93785
460.74, 2.94966
460.94, 2.96109
461.14, 2.97129
461.34, 2.97948
461.54, 2.98604
461.74, 2.99093
461.94, 2.99524
462.14, 2.99951
462.34, 3.00406
462.54, 3.00868
462.74, 3.01285
462.94, 3.01701
463.14, 3.02199
463.34, 3.02802
463.54, 3.03478
463.74, 3.04158
463.94, 3.04776
464.14, 3.05346
464.34, 3.05843
464.54, 3.06282
464.74, 3.06735
464.94, 3.07191
465.14, 3.07582
465.34, 3.07888
465.54, 3.08149
465.74, 3.08211
465.94, 3.04992
466.14, 2.94544
466.34, 2.79122
466.54, 2.62236
466.74, 2.47591
466.94, 2.33535
467.14, 2.19972
467.34, 2.06006
467.54, 1.92424
467.74, 1.78911
467.94, 1.6533
468.14, 1.51681
468.34, 1.38016
468.54, 1.24633
468.74, 1.10636
468.94, 0.968654
469.14, 0.831777
469.34, 0.696516
469.54, 0.562666
469.74, 0.43
469.94, 0.300048
470.14, 0.172222
470.34, 0.104193
470.54, 0.104193
470.74, 0.104193
470.94, 0.104193
471.14, 0.104193
471.34, 0.104193
471.54, 0.104193
471.74, 0.104193
471.94, 0.104193
472.14, 0.104193
472.34, 0.104193
472.54, 0.104193
472.74, 0.104193
472.94, 0.104193
473.14, 0.104193
473.34, 0.104193
473.54, 0.104193
473.74, 0.104193
473.94, 0.104193
474.14, 0.104193
474.34, 0.104193
474.54, 0.104193
474.74, 0.104193
474.94, 0.104193
475.14, 0.104193
475.34, 0.104193
475.54, 0.104193
475.74, 0.104193
475.94, 0.104193
476.14, 0.104193
476.34, 0.104193
476.54, 0.104193
476.74, 0.104193
476.94, 0.104193
477.14, 0.104193
477.34, 0.104193
477.54, 0.104194
477.74, 0.104194
477.94, 0.104194
478.14, 0.104194
478.34, 0.104194
478.54, 0.104194
478.74, 0.104194
478.94, 0.104194
479.14, 0.104194
479.34, 0.104194
